url	tier	score	archetype	reason
https://jobs.ashbyhq.com/decagon/8c40fb7a-5f25-4112-a1df-f1c22b81042c	1	0	?	score-fail: 
https://jobs.lever.co/mistral/715aba24-6c75-40a6-a978-ac6ebbebece5	1	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://jobs.ashbyhq.com/openai/8cf573f3-2268-44f7-8068-f2e60af5fc69	1	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.glassdoor.com/Job/remote-us-ai-program-manager-jobs-SRCH_IL.0,9_IS11047_KO10,28.htm	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.glassdoor.com/Job/remote-us-ai-enablement-jobs-SRCH_IL.0,9_IS11047_KO10,23.htm	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10391033/sr-applied-ai-solutions-architect-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10390079/principal-applied-ai-solutions-architect-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10401999/senior-applied-ai-solutions-architect-federal-financial	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3177010/private-equity-ai-solutions-architect-aws-private-equity	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10392783/sr-applied-ai-solutions-architect-public-sector-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10392784/sr-applied-ai-solutions-architect-public-sector-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10384575/senior-ai-specialist-solutions-architect-aws	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3193875/principal-ai-solution-architect-data-ai-specialist-solutions-architect-team	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3143322/sr-solutions-architect-ai-engineering	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3196089/sr-analytics-ai-specialist-solutions-architect-ags-us-specialist-sa-fsi	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10381789/sr-analytics-ai-specialist-solutions-architect-ags-namer-us-cov-spec-sa-data-ai-analytics	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10382310/specialist-solutions-architect-ai-ml-specialist-team	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3102492/sr-solutions-architect-dynamodb-ai-ops	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3124631/sr-solutions-architect-applied-ai-for-supply-chain-aws-solutions	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10390261/private-equity-genai-solutions-architect-aws-private-equity	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/3187906/sr-genai-ml-specialist-solutions-architect-aspi-auto-manufacturing	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10377795/sr-solutions-architect-retail-cpg-aws	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10393427/sr-applied-ai-solutions-architect-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10387521/senior-applied-ai-solutions-architect-amazon-connect	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10393778/senior-applied-ai-solutions-architect-amazon-connect-aws-applied-ai-solutions	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
https://www.amazon.jobs/en/jobs/10396532/ai-specialist-solutions-architect-ags-us-specialist-sa-fsi	2	0	?	score-fail: claude error: Command failed: claude -p "# career-ops Haiku Triage — Quick
